source,target,weight,extra_col
0,1,3,5
0,2,3,5
0,3,3,5
0,4,3,5
0,5,3,5
0,6,9,2
0,7,3,5
0,8,3,5
0,10,3,5
0,11,3,5
0,12,3,5
0,13,3,5
0,17,3,5
0,19,3,5
0,21,3,5
0,31,3,5
1,2,3,5
1,3,3,5
1,7,3,5
1,13,3,5
1,17,3,5
1,19,3,5
1,21,3,5
1,30,3,5
2,3,3,5
2,7,3,5
2,8,3,5
2,9,3,5
2,13,3,5
2,27,3,5
2,28,3,5
2,32,3,5
3,7,3,5
3,12,3,5
3,13,3,5
4,6,3,5
4,10,3,5
5,6,3,5
5,10,3,5
5,16,3,5
6,16,3,5
8,30,3,5
8,32,3,5
8,33,3,5
9,33,3,5
13,33,3,5
19,33,3,5
22,33,3,5
23,25,3,5
23,29,3,5
25,24,3,5
27,23,3,5
27,24,3,5
27,33,3,5
28,33,3,5
29,26,3,5
30,32,3,5
30,33,3,5
31,24,3,5
31,25,3,5
31,28,3,5
31,32,3,5
31,33,3,5
32,14,3,5
32,15,3,5
32,18,3,5
32,20,3,5
32,22,3,5
32,23,3,5
32,29,3,5
32,33,3,5
33,14,3,5
33,15,3,5
33,18,3,5
33,20,3,5c
33,23,3,5
33,26,3,5
33,29,3,5
